
Clasificarea internationala a maladiilor - Revizia a X a 1994, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Prahova, Anul 1990, Numar persoane, 609
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Prahova, Anul 1991, Numar persoane, 585
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Prahova, Anul 1992, Numar persoane, 612
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Prahova, Anul 1993, Numar persoane, 608
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Prahova, Anul 1994, Numar persoane, 616
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Prahova, Anul 1995, Numar persoane, 602
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Prahova, Anul 1996, Numar persoane, 625
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Prahova, Anul 1997, Numar persoane, 539
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Prahova, Anul 1998, Numar persoane, 555
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Prahova, Anul 1999, Numar persoane, 485
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Prahova, Anul 2000, Numar persoane, 494
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Prahova, Anul 2001, Numar persoane, 511
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Prahova, Anul 2002, Numar persoane, 511
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Prahova, Anul 2003, Numar persoane, 533
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Prahova, Anul 2004, Numar persoane, 462
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Prahova, Anul 2005, Numar persoane, 470
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Prahova, Anul 2006, Numar persoane, 421
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Prahova, Anul 2007, Numar persoane, 413
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Prahova, Anul 2008, Numar persoane, 445
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Prahova, Anul 2009, Numar persoane, 399
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Prahova, Anul 2010, Numar persoane, 396
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Prahova, Anul 2011, Numar persoane, 396
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Prahova, Anul 2012, Numar persoane, 344
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Prahova, Anul 2013, Numar persoane, 369
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Prahova, Anul 2014, Numar persoane, 386
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Prahova, Anul 2015, Numar persoane, 360
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Prahova, Anul 2016, Numar persoane, 390
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Teleorman, Anul 1990, Numar persoane, 294
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Teleorman, Anul 1991, Numar persoane, 323
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Teleorman, Anul 1992, Numar persoane, 275
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Teleorman, Anul 1993, Numar persoane, 289
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Teleorman, Anul 1994, Numar persoane, 314
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Teleorman, Anul 1995, Numar persoane, 300
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Teleorman, Anul 1996, Numar persoane, 313
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Teleorman, Anul 1997, Numar persoane, 322
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Teleorman, Anul 1998, Numar persoane, 274
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Teleorman, Anul 1999, Numar persoane, 237
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Teleorman, Anul 2000, Numar persoane, 266
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Teleorman, Anul 2001, Numar persoane, 239
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Teleorman, Anul 2002, Numar persoane, 265
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Teleorman, Anul 2003, Numar persoane, 269
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Teleorman, Anul 2004, Numar persoane, 259
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Teleorman, Anul 2005, Numar persoane, 266
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Teleorman, Anul 2006, Numar persoane, 223
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Teleorman, Anul 2007, Numar persoane, 206
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Teleorman, Anul 2008, Numar persoane, 246
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Teleorman, Anul 2009, Numar persoane, 233
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Teleorman, Anul 2010, Numar persoane, 244
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Teleorman, Anul 2011, Numar persoane, 211
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Teleorman, Anul 2012, Numar persoane, 188
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Teleorman, Anul 2013, Numar persoane, 185
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Teleorman, Anul 2014, Numar persoane, 191
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Teleorman, Anul 2015, Numar persoane, 177
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Teleorman, Anul 2016, Numar persoane, 181
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea BUCURESTI - ILFOV, Anul 1990, Numar persoane, 1459
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea BUCURESTI - ILFOV, Anul 1991, Numar persoane, 1441
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea BUCURESTI - ILFOV, Anul 1992, Numar persoane, 1463
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea BUCURESTI - ILFOV, Anul 1993, Numar persoane, 1404
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea BUCURESTI - ILFOV, Anul 1994, Numar persoane, 1489
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea BUCURESTI - ILFOV, Anul 1995, Numar persoane, 1497
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea BUCURESTI - ILFOV, Anul 1996, Numar persoane, 1509
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea BUCURESTI - ILFOV, Anul 1997, Numar persoane, 1355
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea BUCURESTI - ILFOV, Anul 1998, Numar persoane, 1313
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea BUCURESTI - ILFOV, Anul 1999, Numar persoane, 1227
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea BUCURESTI - ILFOV, Anul 2000, Numar persoane, 1154
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea BUCURESTI - ILFOV, Anul 2001, Numar persoane, 1106
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea BUCURESTI - ILFOV, Anul 2002, Numar persoane, 1112
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea BUCURESTI - ILFOV, Anul 2003, Numar persoane, 1145
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea BUCURESTI - ILFOV, Anul 2004, Numar persoane, 1053
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea BUCURESTI - ILFOV, Anul 2005, Numar persoane, 1088
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea BUCURESTI - ILFOV, Anul 2006, Numar persoane, 1015
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea BUCURESTI - ILFOV, Anul 2007, Numar persoane, 1072
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea BUCURESTI - ILFOV, Anul 2008, Numar persoane, 1023
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea BUCURESTI - ILFOV, Anul 2009, Numar persoane, 935
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea BUCURESTI - ILFOV, Anul 2010, Numar persoane, 983
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea BUCURESTI - ILFOV, Anul 2011, Numar persoane, 827
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea BUCURESTI - ILFOV, Anul 2012, Numar persoane, 833
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea BUCURESTI - ILFOV, Anul 2013, Numar persoane, 788
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea BUCURESTI - ILFOV, Anul 2014, Numar persoane, 736
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea BUCURESTI - ILFOV, Anul 2015, Numar persoane, 766
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea BUCURESTI - ILFOV, Anul 2016, Numar persoane, 731
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Ilfov, Anul 1996, Numar persoane, 254
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Ilfov, Anul 1997, Numar persoane, 223
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Ilfov, Anul 1998, Numar persoane, 222
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Ilfov, Anul 1999, Numar persoane, 180
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Ilfov, Anul 2000, Numar persoane, 206
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Ilfov, Anul 2001, Numar persoane, 179
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Ilfov, Anul 2002, Numar persoane, 179
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Ilfov, Anul 2003, Numar persoane, 199
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Ilfov, Anul 2004, Numar persoane, 182
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Ilfov, Anul 2005, Numar persoane, 194
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Ilfov, Anul 2006, Numar persoane, 167
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Ilfov, Anul 2007, Numar persoane, 188
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Ilfov, Anul 2008, Numar persoane, 215
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Ilfov, Anul 2009, Numar persoane, 184
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Ilfov, Anul 2010, Numar persoane, 179
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Ilfov, Anul 2011, Numar persoane, 168
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Ilfov, Anul 2012, Numar persoane, 172
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Ilfov, Anul 2013, Numar persoane, 156
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Ilfov, Anul 2014, Numar persoane, 153
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Ilfov, Anul 2015, Numar persoane, 140
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Ilfov, Anul 2016, Numar persoane, 140
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Municipiul Bucuresti, Anul 1996, Numar persoane, 1255
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Municipiul Bucuresti, Anul 1997, Numar persoane, 1132
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Municipiul Bucuresti, Anul 1998, Numar persoane, 1091
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Municipiul Bucuresti, Anul 1999, Numar persoane, 1047
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Municipiul Bucuresti, Anul 2000, Numar persoane, 948
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Municipiul Bucuresti, Anul 2001, Numar persoane, 927
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Municipiul Bucuresti, Anul 2002, Numar persoane, 933
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Municipiul Bucuresti, Anul 2003, Numar persoane, 946
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Municipiul Bucuresti, Anul 2004, Numar persoane, 871
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Municipiul Bucuresti, Anul 2005, Numar persoane, 894
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Municipiul Bucuresti, Anul 2006, Numar persoane, 848
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Municipiul Bucuresti, Anul 2007, Numar persoane, 884
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Municipiul Bucuresti, Anul 2008, Numar persoane, 808
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Municipiul Bucuresti, Anul 2009, Numar persoane, 751
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Municipiul Bucuresti, Anul 2010, Numar persoane, 804
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Municipiul Bucuresti, Anul 2011, Numar persoane, 659
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Municipiul Bucuresti, Anul 2012, Numar persoane, 661
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Municipiul Bucuresti, Anul 2013, Numar persoane, 632
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Municipiul Bucuresti, Anul 2014, Numar persoane, 583
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Municipiul Bucuresti, Anul 2015, Numar persoane, 626
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Municipiul Bucuresti, Anul 2016, Numar persoane, 591
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Mun. Bucuresti -incl. SAI, Anul 1990, Numar persoane, 1459
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Mun. Bucuresti -incl. SAI, Anul 1991, Numar persoane, 1441
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Mun. Bucuresti -incl. SAI, Anul 1992, Numar persoane, 1463
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Mun. Bucuresti -incl. SAI, Anul 1993, Numar persoane, 1404
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Mun. Bucuresti -incl. SAI, Anul 1994, Numar persoane, 1489
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Mun. Bucuresti -incl. SAI, Anul 1995, Numar persoane, 1497
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, MACROREGIUNEA PATRU, Anul 1990, Numar persoane, 3713
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, MACROREGIUNEA PATRU, Anul 1991, Numar persoane, 3415
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, MACROREGIUNEA PATRU, Anul 1992, Numar persoane, 3461
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, MACROREGIUNEA PATRU, Anul 1993, Numar persoane, 3242
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, MACROREGIUNEA PATRU, Anul 1994, Numar persoane, 3348
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, MACROREGIUNEA PATRU, Anul 1995, Numar persoane, 3486
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, MACROREGIUNEA PATRU, Anul 1996, Numar persoane, 3458
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, MACROREGIUNEA PATRU, Anul 1997, Numar persoane, 3329
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, MACROREGIUNEA PATRU, Anul 1998, Numar persoane, 3013
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, MACROREGIUNEA PATRU, Anul 1999, Numar persoane, 2747
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, MACROREGIUNEA PATRU, Anul 2000, Numar persoane, 2732
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, MACROREGIUNEA PATRU, Anul 2001, Numar persoane, 2714
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, MACROREGIUNEA PATRU, Anul 2002, Numar persoane, 2675
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, MACROREGIUNEA PATRU, Anul 2003, Numar persoane, 2664
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, MACROREGIUNEA PATRU, Anul 2004, Numar persoane, 2597
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, MACROREGIUNEA PATRU, Anul 2005, Numar persoane, 2515
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, MACROREGIUNEA PATRU, Anul 2006, Numar persoane, 2537
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, MACROREGIUNEA PATRU, Anul 2007, Numar persoane, 2359
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, MACROREGIUNEA PATRU, Anul 2008, Numar persoane, 2514
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, MACROREGIUNEA PATRU, Anul 2009, Numar persoane, 2343
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, MACROREGIUNEA PATRU, Anul 2010, Numar persoane, 2322
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, MACROREGIUNEA PATRU, Anul 2011, Numar persoane, 2000
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, MACROREGIUNEA PATRU, Anul 2012, Numar persoane, 1934
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, MACROREGIUNEA PATRU, Anul 2013, Numar persoane, 1820
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, MACROREGIUNEA PATRU, Anul 2014, Numar persoane, 1791
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, MACROREGIUNEA PATRU, Anul 2015, Numar persoane, 1903
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, MACROREGIUNEA PATRU, Anul 2016, Numar persoane, 1772
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea SUD-VEST OLTENIA, Anul 1990, Numar persoane, 1939
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea SUD-VEST OLTENIA, Anul 1991, Numar persoane, 1748
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea SUD-VEST OLTENIA, Anul 1992, Numar persoane, 1833
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea SUD-VEST OLTENIA, Anul 1993, Numar persoane, 1694
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea SUD-VEST OLTENIA, Anul 1994, Numar persoane, 1812
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea SUD-VEST OLTENIA, Anul 1995, Numar persoane, 1816
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea SUD-VEST OLTENIA, Anul 1996, Numar persoane, 1898
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea SUD-VEST OLTENIA, Anul 1997, Numar persoane, 1871
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea SUD-VEST OLTENIA, Anul 1998, Numar persoane, 1680
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea SUD-VEST OLTENIA, Anul 1999, Numar persoane, 1517
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea SUD-VEST OLTENIA, Anul 2000, Numar persoane, 1512
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea SUD-VEST OLTENIA, Anul 2001, Numar persoane, 1459
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea SUD-VEST OLTENIA, Anul 2002, Numar persoane, 1506
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea SUD-VEST OLTENIA, Anul 2003, Numar persoane, 1418
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea SUD-VEST OLTENIA, Anul 2004, Numar persoane, 1443
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea SUD-VEST OLTENIA, Anul 2005, Numar persoane, 1372
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea SUD-VEST OLTENIA, Anul 2006, Numar persoane, 1385
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea SUD-VEST OLTENIA, Anul 2007, Numar persoane, 1277
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea SUD-VEST OLTENIA, Anul 2008, Numar persoane, 1459
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea SUD-VEST OLTENIA, Anul 2009, Numar persoane, 1316
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea SUD-VEST OLTENIA, Anul 2010, Numar persoane, 1321
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea SUD-VEST OLTENIA, Anul 2011, Numar persoane, 1147
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea SUD-VEST OLTENIA, Anul 2012, Numar persoane, 1091
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea SUD-VEST OLTENIA, Anul 2013, Numar persoane, 1024
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea SUD-VEST OLTENIA, Anul 2014, Numar persoane, 1042
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea SUD-VEST OLTENIA, Anul 2015, Numar persoane, 1072
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Regiunea SUD-VEST OLTENIA, Anul 2016, Numar persoane, 1011
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Dolj, Anul 1990, Numar persoane, 509
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Dolj, Anul 1991, Numar persoane, 548
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Dolj, Anul 1992, Numar persoane, 557
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Dolj, Anul 1993, Numar persoane, 466
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Dolj, Anul 1994, Numar persoane, 513
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Dolj, Anul 1995, Numar persoane, 512
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Dolj, Anul 1996, Numar persoane, 498
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Dolj, Anul 1997, Numar persoane, 558
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Dolj, Anul 1998, Numar persoane, 467
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Dolj, Anul 1999, Numar persoane, 442
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Dolj, Anul 2000, Numar persoane, 460
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Dolj, Anul 2001, Numar persoane, 451
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Dolj, Anul 2002, Numar persoane, 446
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Dolj, Anul 2003, Numar persoane, 415
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Dolj, Anul 2004, Numar persoane, 442
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Dolj, Anul 2005, Numar persoane, 416
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Dolj, Anul 2006, Numar persoane, 457
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Dolj, Anul 2007, Numar persoane, 381
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Dolj, Anul 2008, Numar persoane, 440
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Dolj, Anul 2009, Numar persoane, 417
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Dolj, Anul 2010, Numar persoane, 409
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Dolj, Anul 2011, Numar persoane, 356
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Dolj, Anul 2012, Numar persoane, 346
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Dolj, Anul 2013, Numar persoane, 317
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Dolj, Anul 2014, Numar persoane, 322
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Dolj, Anul 2015, Numar persoane, 340
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Dolj, Anul 2016, Numar persoane, 313
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Gorj, Anul 1990, Numar persoane, 369
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Gorj, Anul 1991, Numar persoane, 297
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Gorj, Anul 1992, Numar persoane, 331
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Gorj, Anul 1993, Numar persoane, 296
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Gorj, Anul 1994, Numar persoane, 326
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Gorj, Anul 1995, Numar persoane, 320
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Gorj, Anul 1996, Numar persoane, 344
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Gorj, Anul 1997, Numar persoane, 355
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Gorj, Anul 1998, Numar persoane, 301
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Gorj, Anul 1999, Numar persoane, 279
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Gorj, Anul 2000, Numar persoane, 269
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Gorj, Anul 2001, Numar persoane, 260
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Gorj, Anul 2002, Numar persoane, 264
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Gorj, Anul 2003, Numar persoane, 242
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Gorj, Anul 2004, Numar persoane, 243
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Gorj, Anul 2005, Numar persoane, 226
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Gorj, Anul 2006, Numar persoane, 234
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Gorj, Anul 2007, Numar persoane, 222
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Gorj, Anul 2008, Numar persoane, 264
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Gorj, Anul 2009, Numar persoane, 208
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Gorj, Anul 2010, Numar persoane, 220
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Gorj, Anul 2011, Numar persoane, 195
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Gorj, Anul 2012, Numar persoane, 211
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Gorj, Anul 2013, Numar persoane, 183
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Gorj, Anul 2014, Numar persoane, 202
Leziuni traumatice  otraviri si alte consecinte ale cauzelor externe, Gorj, Anul 2015, Numar persoane, 185
